Row	Source	Target
0	this	presente
22	medicinal	medicamento
23	product	medicamento
36	reach	emitir
49	need	desear
55	condition	enfermedad
62	package	prospecto
65	also	incluir
72	contact	preguntar
121	infusion	perfusión
147	use	indicar
149	treat	tratamiento
178	use	administrar
190	unresectable	resecable
192	cannot	poder
232	before	previamente
235	metastatic	metastásico
261	before	previamente
285	be	dispensar
286	obtain	dispensar
292	how	¿cómo
301	be	administrar
310	be	cualificar
331	body	corporal
354	infusion	perfusión
392	give	utilizar
397	anti-emetic	antiemético
411	should	haber~que
424	should	necesario
440	abnormal	alteración
450	be	administrar
454	use	administrar
458	moderate	renal
461	kidney	renal
469	see	consultar
510	divide	división
521	antimetabolite	antimetabolitos
544	involve	participar
552	dna	adn
554	rna	arn
582	study	evaluar
609	be	comparar
630	be	comparar
649	advanced	avanzar
651	metastatic	metastásico
659	past	previamente
663	be	comparar
695	past	previamente
713	survive	supervivencia
716	what	¿qué
727	increase	prolongar
779	comparator	comparación
790	past	previamente
833	however	no~obstante
842	be	afectar
851	they	recibir
856	they	recibir
859	comparator	medicamento
862	in	por el contrario
863	contrast	por el contrario
872	short	más
888	markup	marcado
949	everyone	persona
959	screenshot	captura
1000	to	donde
1001	type	introducir
1029	we	introducir
1046	I	haber
1059	hard	asequible
1064	I	haber
1066	look	tener
1069	maximum	maxima
1109	possible	poder
1123	make	expresar
1129	it	permitir
1231	we	introducimos
1232	introduce	introducimos
1260	in	en~cambio
1273	be	usar
1293	I	preguntar
1295	why	por~qué
1299	mind	preocupar
1304	s	ser
1312	operate	realizar
1322	trigonometric	trigonométrica
1342	we	poder
1349	everything	cosa
1382	will	aparecer
1383	see	aparecer
1412	an	ans
1416	will	cambiar
1417	be	reproducir
1428	window	nuevo
1430	flush	refrescar
1446	sequentially	secuencial
1449	nice	útil
1474	type	introducir
1483	reuse	reutilizarlas
1492	easy	poder
1499	like	por~ejemplo
1548	have	tener~que
1549	to	tener~que
1572	then	continuación
1581	box	cuadro
1585	type	introducir
1617	ok	aceptar
1620	display	dibujar
1629	you	ser
1630	can	posible
1631	set	dibujar
1667	be	intervenir
1668	involve	intervenir
1670	organise	organización
1681	over	más
1697	key	principal
1719	few	no
1725	involve	enfoque
1745	be	tomar
1757	welfare	servicio
1777	galician	galicia
1778	regional	comunidad
1805	part	marco
1819	humanise	humanizar
1835	senior	alto
1836	official	responsable
1866	be	incluir
1871	key	principal
1875	social	socialfueron
1878	be	socialfueron
1889	industrial	laboral
1898	gome	gomes
1911	member	diputado
1949	present	reflejar
1954	improve	mejora
1982	have	seleccionar
1988	depth	detallar
1996	background	contexto
2002	impact	repercusión
2034	will	constituir
2043	synthesise	resumir
2045	practice	práctico
2052	casebook	repertorio
2055	will	publicar
2061	provide	servir
2099	perspective	punto
2140	barrier	limitación
2144	old	grande
2151	early	anticipado
2160	concern	ocupar
2165	reintegrate	reintegración
2169	old	grande
2177	background	raza
2183	relate	influir
2194	consider	tener
2207	size	mediano
2208	enterprise	rural
2214	be	incluir
2215	cover	incluir
2222	france	francia
2224	germany	alemania
2226	greece	grecia
2228	italy	italia
2234	united	reino~unido
2235	kingdom	reino~unido
2238	this	presente
2240	be	resumir
2257	product	medicamento
2264	assess	evaluación
2267	perform	efectuar
2281	what	¿qué
2294	available	presentar
2305	tablet	comprimir
2312	line	ranura
2318	they	dividir
2319	can	permitir
2377	prevent	prevención
2380	as	por~ejemplo
2397	be	producir
2406	combination	combinar
2408	supportive	complementario
2439	tablet	comprimir
2449	be	administrar
2457	how	¿cómo
2466	neurokinin	neurocinina
2480	how	¿qué
2504	veterinary	clínico
2505	practise	clínico
2512	usa	ee.uu.
2513	.	ee.uu.
2515	what	¿qué
2577	be	iniciarse
2584	vomiting	vomitar
2590	to	retener
2593	tablet	comprimir
2599	throw	vomitar
2618	tablet	medicamento
2631	only	siempre
2635	supportive	apoyo
2642	address	combatir
2644	underlie	subyacente
2651	what	¿cuáles
2654	risk	efecto
2662	generally	en~general
2679	extended	prolongar
2688	maximum	grande
2695	what	¿qué
