Token ID	Token	Lemma	POS	BN Synset	Token ID ES	Token ES	Lemma ES	POS ES	Sense ES
	This	this	DET		d001.s001.t003	presente	presente	J	
d001.s001.t001	document	document	NOUN	bn:00028015n	d001.s001.t004	documento	documento	N	bn:00028015n
	is	be	VERB		d001.s001.t005	se		X	
	a	a	DET						
d001.s001.t002	summary	summary	NOUN	bn:00075142n					
	of	of	ADP						
	the	the	DET		d001.s001.t007	el		X	
d001.s001.t003	European	european	ADJ	bn:00102440a	d001.s001.t010	Europeo	europeo	J	bn:00102440a
d001.s001.t004	Public	public	ADJ	bn:00109211a	d001.s001.t009	Público	público	J	bn:00109211a
d001.s001.t005	Assessment	assessment	NOUN	bn:00006502n	d001.s001.t012	Evaluación	evaluación	N	bn:00006502n
d001.s001.t006	Report	report	NOUN	bn:00067181n	d001.s001.t008	Informe	informe	N	bn:00067181n
	(	(	.		d001.s001.t013	(		X	
	EPAR	epar	NOUN		d001.s001.t014	EPAR	epar	N	
	)	)	.		d001.s001.t015	)		X	
	.	.	.		d001.s001.t016	.		X	
	-end-	-end-	-end-						
	It	it	PRON		d001.s002.t002	él		X	
d001.s002.t001	explains	explain	VERB	bn:00087870v	d001.s002.t004	explica	explicar	V	bn:00087870v
	how	how	ADV		d001.s002.t005	cómo	cómo	R	
	the	the	DET		d001.s002.t006	el		X	
d001.s002.t002	Committee	committee	NOUN	bn:00021015n	d001.s002.t007	Comité	comité	N	bn:00021015n
	for	for	ADP		d001.s002.t008	de		X	
d001.s002.t003	Medicinal	medicinal	ADJ	bn:00106556a	d001.s002.t009➕d001.s002.t012	Medicamentos➕Humano	medicamento	N➕J	bn:00106556a
d001.s002.t004	Products	product	NOUN	bn:00064584n	d001.s002.t009	Medicamentos	medicamento	N	bn:00064584n
	for	for	ADP		d001.s002.t010	de		X	
d001.s002.t005	Human	human	ADJ	bn:00104385a	d001.s002.t012	Humano	humano	J	bn:00104385a
d001.s002.t006	Use	use	NOUN	bn:00030627n	d001.s002.t011	Uso	uso	N	bn:00030627n
	(	(	.		d001.s002.t013	(		X	
	CHMP	chmp	NOUN		d001.s002.t014	CHMP	chmp	N	
	)	)	.		d001.s002.t015	)		X	
d001.s002.t007	assessed	assess	VERB	bn:00082720v	d001.s002.t017	evaluado	evaluar	V	bn:00082720v
	the	the	DET		d001.s002.t018	los		X	
d001.s002.t008	studies	study	NOUN	bn:00074790n	d001.s002.t019	estudios	estudio	N	bn:00074790n
d001.s002.t009	performed	perform	VERB	bn:00087107v	d001.s002.t020	realizados	realizar	V	bn:00087107v
	,	,	.						
	to	to	PRT		d001.s002.t024	a fin de		X	
d001.s002.t010	reach	reach	VERB	bn:00088789v	d001.s002.t025	emitir	emitir	V	bn:00088789v
	their	they	PRON		d001.s002.t029	su		X	
d001.s002.t011	recommendations	recommendation	NOUN	bn:00066562n	d001.s002.t027	recomendaciones	recomendación	N	bn:00066562n
	on	on	ADP		d001.s002.t028	sobre		X	
	how	how	ADV						
	to	to	PRT						
d001.s002.t012	use	use	VERB	bn:00082705v	d001.s002.t030	uso	uso	N	bn:00082705v
	the	the	DET		d001.s002.t022	el		X	
d001.s002.t013	medicine	medicine	NOUN	bn:00054128n	d001.s002.t023	medicamento	medicamento	N	bn:00054128n
	.	.	.		d001.s002.t031	.		X	
	-end-	-end-	-end-						
	If	if	ADP		d001.s003.t001	Si		X	
	you	you	PRON						
d001.s003.t001	need	need	VERB	bn:00091029v	d001.s003.t002	desea	desear	V	bn:00091029v
d001.s003.t002	more	more	ADJ	bn:00106935a	d001.s003.t003	más	más	R	bn:00106935a
d001.s003.t003	information	information	NOUN	bn:00025314n	d001.s003.t004	información	información	N	bn:00025314n
	about	about	ADP		d001.s003.t005	sobre		X	
	your	you	PRON		d001.s003.t006	su		X	
d001.s003.t004	medical	medical	ADJ	bn:00106555a					
d001.s003.t005	condition	condition	NOUN	bn:00021648n	d001.s003.t007	enfermedad	enfermedad	N	bn:00021648n
	or	or	CONJ		d001.s003.t008	o		X	
	your	you	PRON						
d001.s003.t006	treatment	treatment	NOUN	bn:00047235n	d001.s003.t010	tratamiento	tratamiento	N	bn:00047235n
	,	,	.		d001.s003.t014	,		X	
d001.s003.t007	read	read	VERB	bn:00092424v	d001.s003.t018	lea	leer	V	bn:00092424v
	the	the	DET		d001.s003.t019	el		X	
d001.s003.t008	Package	package	NOUN	bn:00013882n	d001.s003.t020	prospecto	prospecto	N	bn:00013882n
d001.s003.t009	Leaflet	leaflet	NOUN	bn:00012133n					
	(	(	.		d001.s003.t021	(		X	
d001.s003.t010	also	also	ADV	bn:00114246r	d001.s003.t022	incluido	incluir	V	bn:00114246r
d001.s003.t011	part	part	NOUN	bn:00027912n					
	of	of	ADP						
	the	the	DET		d001.s003.t024	el		X	
	EPAR	epar	NOUN		d001.s003.t025	EPAR	epar	N	
	)	)	.		d001.s003.t026	)		X	
	or	or	CONJ		d001.s003.t027	o		X	
