Row	Source	Target
22	medicinal	medicamento
23	product	medicamento
36	reach	emitir
49	need	desear
62	package	prospecto
65	also	incluir
72	contact	preguntar
116	make up	preparar
121	infusion	perfusión
147	use	indicar
149	treat	tratamiento
161	lining	revestimiento
178	use	administrar
179	together	combinación
191	unresectable	resecable
203	have	haber
224	have	haber
260	have	haber
273	have	haber
288	be	dispensar
289	obtain	dispensar
304	be	administrar
305	give	administrar
313	be	cualificar
324	recommended	recomendar
335	body	corporal
351	give	administrar
359	infusion	perfusión
376	folic	fólico
400	give	utilizar
422	give	administrar
446	blood	sanguíneo
447	count	sanguíneo
449	abnormal	alteración
453	certain	determinado
460	be	administrar
464	use	administrar
468	moderate	renal
479	see	consultar
484	characteristics	característica
497	work	actuar
516	kill	destruir
520	divide	división
523	cancer	canceroso
537	body	organismo
555	involve	participar
557	produce	producción
561	building block	esencial
576	have	haber
591	have	haber
593	study	evaluar
602	have	haber
620	be	comparar
633	non-small	no
642	be	comparar
661	advanced	avanzar
666	have	haber
671	past	previamente
675	be	comparar
699	have	haber
708	past	previamente
731	have	haber
740	increase	prolongar
782	non-small	no
793	comparator	comparación
799	have	haber
804	past	previamente
827	have	haber
847	however	no~obstante
856	be	afectar
862	long	grande
874	comparator	medicamento
878	contrast	por el contrario
888	short	más
904	markup	marcado
925	representate	representar
965	everyone	persona
975	screenshot	captura
1017	type	introducir
1076	hard	asequible
1083	look	tener
1126	possible	poder
1140	make	expresar
1168	high	grande
1249	introduce	introducimos
1291	be	usar
1311	me	preguntar
1317	mind	preocupar
1330	operate	realizar
1365	everything	cosa
1381	there	aquí
1394	click	pulsar
1399	see	aparecer
1433	be	reproducir
1444	window	nuevo
1446	flush	refrescar
1465	nice	útil
1489	have	haber
1490	type	introducir
1497	able	poder
1499	reuse	reutilizarlas
1509	easy	poder
1511	fix	corregir
1538	able	poder
1566	have	tener~que
1578	click	pulsar
1590	then	continuación
1599	box	cuadro
1603	type	introducir
1628	have	haber
1632	click	pulsar
1635	ok	aceptar
1638	display	dibujar
1649	set	dibujar
1683	have	haber
1685	be	intervenir
1686	involve	intervenir
1716	key	principal
1717	actor	agente
1730	well	además
1739	few	no
1745	involve	enfoque
1765	be	tomar
1774	play	desempeñar
1777	welfare	servicio
1798	regional	comunidad
1809	major	grande
1825	part	marco
1855	senior	alto
1856	official	responsable
1860	partner	interlocutor
1875	important	importancia
1884	banking	bancario
1886	be	incluir
1891	key	principal
1895	social	socialfueron
1898	be	socialfueron
1909	industrial	laboral
1932	member	diputado
1971	present	reflejar
2004	have	seleccionar
2010	depth	detallar
2020	background	contexto
2026	impact	repercusión
2067	synthesise	resumir
2069	practice	práctico
2077	book	repertorio
2086	provide	servir
2124	perspective	punto
2128	partner	interlocutor
2165	barrier	limitación
2169	old	grande
2176	early	anticipado
2190	reintegrate	reintegración
2194	old	grande
2202	background	raza
2208	relate	influir
2219	consider	tener
2233	sized	mediano
2234	enterprise	rural
2240	be	incluir
2241	cover	incluir
2260	united	reino~unido
2261	kingdom	reino~unido
2266	be	resumir
2283	product	medicamento
2290	assess	evaluación
2293	perform	efectuar
2320	available	presentar
2331	tablet	comprimir
2333	pale-orange	naranja
2338	line	ranura
2347	halve	dividir
2352	be	ir
2403	prevent	prevención
2423	be	producir
2432	combination	combinar
2434	supportive	complementario
2465	tablet	comprimir
2471	purpose	efecto
2475	be	administrar
2476	give	administrar
2485	work	actuar
2491	neurokinin	neurocinina
2508	have	haber
2522	carry	realizar
2533	veterinary	clínico
2534	practise	clínico
2547	have	haber
2607	be	iniciarse
2621	keep	retener
2623	tablet	comprimir
2629	throw	vomitar
2639	follow-up	continuación
2648	tablet	medicamento
2661	only	siempre
2662	be	realizar
2663	together	asociación
2673	address	combatir
2675	underlie	subyacente
2685	risk	efecto
2693	generally	en~general
2710	extended	prolongar
2720	recommended	recomendar
2721	maximum	grande
2736	give	administrar
