Row	Source	Target
22	medicinal	medicamento
23	product	medicamento
36	reach	emitir
49	need	desear
55	condition	enfermedad
62	package	prospecto
65	also	incluir
72	contact	preguntar
116	make up	preparar
121	infusion	perfusión
147	use	indicar
149	treat	tratamiento
178	use	administrar
179	together	combinación
191	unresectable	resecable
236	metastatic	metastásico
288	be	dispensar
289	obtain	dispensar
304	be	administrar
313	be	cualificar
324	recommended	recomendar
335	body	corporal
359	infusion	perfusión
376	folic	fólico
400	give	utilizar
405	anti-emetic	antiemético
447	count	sanguíneo
449	abnormal	alteración
460	be	administrar
464	use	administrar
468	moderate	renal
471	kidney	renal
479	see	consultar
520	divide	división
523	cancer	canceroso
555	involve	participar
561	building block	esencial
563	dna	adn
565	rna	arn
593	study	evaluar
620	be	comparar
642	be	comparar
661	advanced	avanzar
663	metastatic	metastásico
671	past	previamente
675	be	comparar
708	past	previamente
726	survive	supervivencia
740	increase	prolongar
793	comparator	comparación
804	past	previamente
847	however	no~obstante
856	be	afectar
874	comparator	medicamento
878	contrast	por el contrario
888	short	más
904	markup	marcado
965	everyone	persona
975	screenshot	captura
1017	type	introducir
1076	hard	asequible
1083	look	tener
1126	possible	poder
1140	make	expresar
1399	see	aparecer
1433	be	reproducir
1444	window	nuevo
1446	flush	refrescar
1462	sequentially	secuencial
1465	nice	útil
1490	type	introducir
1499	reuse	reutilizarlas
1509	easy	poder
1566	have	tener~que
1590	then	continuación
1599	box	cuadro
1603	type	introducir
1635	ok	aceptar
1638	display	dibujar
1649	set	dibujar
1685	be	intervenir
1686	involve	intervenir
1688	organise	organización
1716	key	principal
1730	well	además
1739	few	no
1745	involve	enfoque
1765	be	tomar
1777	welfare	servicio
1797	galician	galicia
1798	regional	comunidad
1825	part	marco
1839	humanise	humanizar
1855	senior	alto
1856	official	responsable
1886	be	incluir
1891	key	principal
1895	social	socialfueron
1898	be	socialfueron
1909	industrial	laboral
1932	member	diputado
1938	Maria	maría
1971	present	reflejar
1976	improve	mejora
2004	have	seleccionar
2010	depth	detallar
2020	background	contexto
2026	impact	repercusión
2067	synthesise	resumir
2069	practice	práctico
2077	book	repertorio
2086	provide	servir
2124	perspective	punto
2165	barrier	limitación
2169	old	grande
2176	early	anticipado
2185	concern	ocupar
2190	reintegrate	reintegración
2194	old	grande
2202	background	raza
2208	relate	influir
2219	consider	tener
2233	sized	mediano
2234	enterprise	rural
2240	be	incluir
2241	cover	incluir
2248	france	francia
2250	germany	alemania
2252	greece	grecia
2254	italy	italia
2260	united	reino~unido
2261	kingdom	reino~unido
2266	be	resumir
2283	product	medicamento
2290	assess	evaluación
2293	perform	efectuar
2533	veterinary	clínico
2534	practise	clínico
2542	usa	ee.uu.
2607	be	iniciarse
2614	vomiting	vomitar
2623	tablet	comprimir
2629	throw	vomitar
2648	tablet	medicamento
2661	only	siempre
2663	together	asociación
2666	supportive	apoyo
2673	address	combatir
2675	underlie	subyacente
2685	risk	efecto
2693	generally	en~general
2710	extended	prolongar
2720	recommended	recomendar
2721	maximum	grande
