Token ID	Token	Lemma	POS	BN Synset
	En		X
	el		X	
d000.s000.t000	presente	presente	ADJ	bn:00108977a
d000.s000.t001	documento	documento	NOUN	bn:00028015n;bn:00028017n
	se		X	
d000.s000.t002	resume	resumir	VERB	bn:00082392v;bn:00086822v;bn:00092916v
	el		X	
d000.s000.t003	Informe	informe	NOUN	bn:00067181n;wiki:informe
d000.s000.t004	Público	público	ADJ	bn:00109211a;bn:00109212a
d000.s000.t005	Europeo	europeo	ADJ	bn:00102440a
	de		X	
d000.s000.t006	Evaluación	evaluación	NOUN	bn:00005120n;bn:00031972n
	(		X	
	EPAR	epar	NOUN	
	)		X	
	.		X	
	-end-		X	
	En		X	
	él		X	
	se		X	
d000.s001.t000	explica	explicar	VERB	bn:00087869v;bn:00087870v
	cómo	cómo	ADV	
	el		X	
d000.s001.t001	Comité	comité	NOUN	bn:00021015n;wiki:comité
	de		X	
d000.s001.t002	Medicamentos	medicamento	NOUN	bn:00031708n;bn:00054128n;bn:00061887n;wiki:medicamento;wiki:prescripción_(medicina)
	de		X	
d000.s001.t003	Uso	uso	NOUN	bn:00030627n;bn:00079370n
d000.s001.t004	Humano	humano	ADJ	bn:00104385a
	(		X	
	CHMP	chmp	NOUN	
	)		X	
	ha	haber	VERB	
d000.s001.t005	evaluado	evaluar	VERB	bn:00082720v
	los		X	
d000.s001.t006	estudios	estudio	NOUN	bn:00074790n
d000.s001.t007	realizados	realizar	VERB	bn:00082225v;bn:00082311v;bn:00087107v
	con		X	
	el		X	
d000.s001.t008	medicamento	medicamento	NOUN	bn:00031708n;bn:00054128n;bn:00061887n;wiki:medicamento;wiki:prescripción_(medicina)
	a fin de		X	
d000.s001.t009	emitir	emitir	VERB	bn:00084099v;bn:00086535v
	unas		X	
d000.s001.t010	recomendaciones	recomendación	NOUN	bn:00066562n
	sobre		X	
	su		X	
d000.s001.t011	uso	uso	NOUN	bn:00030627n;bn:00036822n
	.		X	
	-end-		X	
	Si		X	
d000.s002.t000	desea	desear	VERB	bn:00086682v;bn:00086684v
d000.s002.t001	más	más	ADV	bn:00116285r
d000.s002.t002	información	información	NOUN	bn:00046705n;wiki:información
	sobre		X	
	su		X	
d000.s002.t003	enfermedad	enfermedad	NOUN	bn:00002171n;bn:00027546n;bn:00045952n;bn:00071428n;wiki:enfermedad
	o		X	
	el		X	
