ID	English	Spanish	English-Spanish Alignment
d001.s001	This document is a summary of the European Public Assessment Report ( EPAR ) .	En el presente documento se resume el Informe Público Europeo de Evaluación ( EPAR ) .	0-2 1-3 2-4 3-1 4-5 5-10 6-6 7-9 8-8 9-11 10-7 11-12 12-13 13-14 14-15
d001.s002	It explains how the Committee for Medicinal Products for Human Use ( CHMP ) assessed the studies performed, to reach their recommendations on how to use the medicine .	En él se explica cómo el Comité de Medicamentos de Uso Humano ( CHMP ) ha evaluado los estudios realizados con el medicamento a fin de emitir unas recomendaciones sobre su uso .	0-1 1-2 1-3 2-4 3-5 4-6 5-7 6-8 6-11 7-8 8-9 9-11 10-10 11-12 12-13 13-14 14-16 15-17 16-18 17-19 18-16 19-23 20-24 21-28 22-26 23-27 25-23 26-29 27-21 28-22 29-30
d001.s003	If you need more information about your medical condition or your treatment, read the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .	Si desea más información sobre su enfermedad o el tratamiento de la misma , le aconsejamos que lea el prospecto ( incluido en el EPAR ) o pregunte a su médico o su farmacéutico .	0-0 1-15 2-1 3-2 4-3 5-4 6-5 8-6 9-7 11-9 12-13 13-17 14-18 15-19 17-20 18-21 20-22 21-23 22-24 23-25 24-26 25-27 26-29 27-30 28-31 29-32 29-33 30-34
d001.s004	If you want more information on the basis of the CHMP recommendations, read the Scientific Discussion ( also part of the EPAR ) .	Si desea más información sobre el fundamento en el que se han basado las recomendaciones del CHMP , le aconsejamos que lea el Debate Científico ( también incluido en el EPAR ) .	0-0 1-19 2-1 3-2 4-3 5-4 6-5 7-6 9-15 10-16 11-14 12-17 13-21 14-22 15-24 16-23 17-25 18-26 19-27 20-28 21-29 22-30 23-31 24-32
d001.s005	What is Alimta ?	¿Qué es Alimta ?	0-0 1-1 2-2 3-3
d001.s006	Alimta is a powder that is made up into a solution for infusion ( drip into a vein ) .	Alimta es un polvo con el que se prepara una solución para perfusión ( goteo en vena ) .	0-0 1-1 2-2 3-3 4-6 5-7 6-8 8-9 9-10 10-11 11-12 12-13 13-14 14-15 16-16 17-17 18-18
d001.s007	It contains the active substance pemetrexed .	Contiene el principio activo pemetrexed .	0-0 1-0 2-1 3-3 4-2 5-4 6-5
d001.s008	What is Alimta used for ?	¿Para qué se utiliza Alimta ?	0-1 1-2 2-4 3-3 4-0 5-5
d001.s009	Alimta is used to treat two types of cancer: pleural mesothelioma ( cancer of the lining of the lungs that is usually caused by exposure to asbestos ) .	Alimta está indicado para el tratamiento de dos tipos de cáncer : mesotelioma pleural ( cáncer del revestimiento de los pulmones causado generalmente por la exposición al amianto ) .	0-0 1-1 2-2 3-3 4-5 5-7 6-8 7-9 8-10 9-11 10-13 11-12 12-14 13-15 14-16 15-24 16-17 17-18 18-19 19-20 22-22 23-21 24-23 25-25 26-26 27-27 28-28 29-29
d001.s010	Alimta is used together with cisplatin ( another anticancer medicine ) when the cancer is unresectable ( cannot be removed by surgery alone ) and malignant ( has spread , or is likely to spread easily , to other parts of the body ) , in patients who have not received chemotherapy ( medicines for cancer ) before advanced or metastatic non-small cell lung cancer that is not affecting the squamous cells . 	Alimta se administra en combinación con cisplatino ( otro medicamento contra el cáncer ) cuando el tumor « no es resecable » ( no puede extirparse sólo mediante cirugía ) y es « maligno » ( se ha extendido , o es probable que se extienda fácilmente , a otras partes del cuerpo ) , en pacientes que no han recibido quimioterapia ( medicamentos contra el cáncer ) previamente , cáncer de pulmón « no microcítico » avanzado o metastásico que no afecte a las células « escamosas » .	0-0 1-1 2-2 3-4 4-5 5-6 6-7 7-8 8-10 9-9 10-13 11-14 12-15 13-12 14-19 15-18 15-20 16-22 17-24 18-25 19-25 20-27 21-28 22-26 23-29 24-30 25-33 26-35 27-37 28-38 29-39 30-40 31-31 32-42 33-43 34-45 35-46 36-47 37-48 38-49 39-50 40-51 41-84 42-52 43-53 44-54 45-55 46-56 47-57 48-59 49-58 50-60 51-61 52-62 53-9 53-63 54-64 55-66 56-67 57-68 58-77 59-78 60-79 61-74 64-70 65-80 67-81 68-38 68-82 70-72 70-87 71-85 71-87 72-69 72-89
d001.s011	Alimta is used in combination with cisplatin in patients who have not been treated before, and on its own in patients who have received another type of chemotherapy in the past.	Alimta se utiliza en combinación con cisplatino en pacientes que no han sido tratados previamente y en monoterapia en pacientes que han sido tratado previamente con otros tipos de quimioterapia .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-11 11-10 12-12 13-13 14-14 16-15 17-16 20-18 21-19 22-20 23-21 24-22 25-26 26-27 27-28 28-29 31-24 32-30
d001.s012	The medicine can only be obtained with a prescription.	Este medicamento sólo podrá dispensarse con receta médica .	0-0 1-1 2-3 3-2 4-4 5-1 5-4 6-5 8-6 8-7 9-8
d001.s013	How is Alimta used?	¿Cómo se usa Alimta ?	0-0 1-1 2-3 3-2 4-4
d001.s014	Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy.	Alimta sólo debe administrarse bajo la supervisión de un médico cualificado en el uso de quimioterapia contra el cáncer .	0-0 1-2 2-1 3-3 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-17 12-10 13-10 14-11 15-12 16-13 17-14 18-16 18-18 19-15 20-19
d001.s015	The recommended dose of Alimta is 500 mg per square metre of body surface area (calculated using the patient's height and weight).	La dosis recomendada de Alimta es de 500 mg por metro cuadrado de superficie corporal ( calculada a partir de la estatura y el peso del paciente ) .	0-0 1-2 2-1 3-3 4-4 5-5 6-7 7-8 8-9 10-10 11-12 12-14 13-13 14-11 15-15 16-16 17-17 18-23 19-24 21-19 22-20 23-22 24-25 25-26
d001.s016	It is given once every three weeks as an intravenous infusion lasting 10 minutes.	Se administra una vez cada tres semanas por perfusión intravenosa durante 10 minutos .	1-0 2-1 3-3 4-4 5-5 6-6 7-7 8-2 9-9 10-8 11-10 12-11 13-12 14-13
d001.s017	To reduce side effects, patients should take a corticosteroid and folic acid (a type of vitamin), and receive injections of vitamin B12 during treatment with Alimta.	Con el fin de reducir los efectos secundarios , los pacientes deben recibir un corticosteroide y ácido fólico ( un tipo de vitamina ) , así como inyecciones de vitamina B12 durante el tratamiento con Alimta .	0-0 1-4 2-7 3-6 4-8 5-10 6-11 7-14 8-13 9-14 10-15 11-17 12-16 13-18 14-19 15-20 16-21 17-22 18-23 19-24 20-25 21-12 22-26 23-27 24-28 25-29 26-30 27-32 28-33 29-34 30-35
