Token ID	Token	Lemma	POS
es001.s001.t001	Este	este	DET
es001.s001.t002	documento	documento	NOUN
es001.s001.t003	es	ser	AUX
es001.s001.t004	un	uno	DET
es001.s001.t005	resumen	resumen	NOUN
es001.s001.t006	del	del	ADP
es001.s001.t007	Informe	Informe	PROPN
es001.s001.t008	Público	Público	PROPN
es001.s001.t009	Europeo	Europeo	PROPN
es001.s001.t010	de	de	ADP
es001.s001.t011	Evaluación	Evaluación	PROPN
es001.s001.t012	(	(	PUNCT
es001.s001.t013	EPAR	EPAR	PROPN
es001.s001.t014	)	)	PUNCT
es001.s001.t015	.	.	PUNCT
es001.s002.t001	Explica	explicar	VERB
es001.s002.t002	cómo	cómo	PRON
es001.s002.t003	el	el	DET
es001.s002.t004	Comité	Comité	PROPN
es001.s002.t005	de	de	ADP
es001.s002.t006	Medicamentos	Medicamentos	PROPN
es001.s002.t007	de	de	ADP
es001.s002.t008	Uso	Uso	PROPN
es001.s002.t009	Humano	Humano	PROPN
es001.s002.t010	(	(	PUNCT
es001.s002.t011	CHMP	CHMP	PROPN
es001.s002.t012	)	)	PUNCT
es001.s002.t013	evaluó	evaluó	VERB
es001.s002.t014	los	el	DET
es001.s002.t015	estudios	estudio	NOUN
es001.s002.t016	realizados	realizado	ADJ
es001.s002.t017	para	para	ADP
es001.s002.t018	llegar	llegar	VERB
es001.s002.t019	a	a	ADP
es001.s002.t020	sus	su	DET
es001.s002.t021	recomendaciones	recomendación	NOUN
es001.s002.t022	sobre	sobre	ADP
es001.s002.t023	cómo	cómo	PRON
es001.s002.t024	utilizar	utilizar	VERB
es001.s002.t025	el	el	DET
es001.s002.t026	medicamento	medicamento	NOUN
es001.s002.t027	.	.	PUNCT
es001.s003.t001	Si	si	SCONJ
es001.s003.t002	necesita	necesitar	VERB
es001.s003.t003	más	más	ADV
es001.s003.t004	información	información	NOUN
es001.s003.t005	sobre	sobre	ADP
es001.s003.t006	su	su	DET
es001.s003.t007	condición	condición	NOUN
es001.s003.t008	médica	médico	ADJ
es001.s003.t009	o	o	CCONJ
es001.s003.t010	su	su	DET
es001.s003.t011	tratamiento	tratamiento	NOUN
es001.s003.t012	,	,	PUNCT
es001.s003.t013	lea	lea	VERB
es001.s003.t014	el	el	DET
es001.s003.t015	prospecto	prospecto	NOUN
es001.s003.t016	(	(	PUNCT
es001.s003.t017	también	también	ADV
es001.s003.t018	parte	parte	NOUN
es001.s003.t019	del	del	ADP
es001.s003.t020	EPAR	EPAR	PROPN
es001.s003.t021	)	)	PUNCT
es001.s003.t022	o	o	CCONJ
es001.s003.t023	comuníquese	comuníquese	VERB
es001.s003.t024	con	con	ADP
es001.s003.t025	su	su	DET
es001.s003.t026	médico	médico	NOUN
es001.s003.t027	o	o	CCONJ
es001.s003.t028	farmacéutico	farmacéutico	ADJ
es001.s003.t029	.	.	PUNCT
es001.s004.t001	Si	si	SCONJ
es001.s004.t002	desea	desear	VERB
es001.s004.t003	obtener	obtener	VERB
es001.s004.t004	más	más	ADV
es001.s004.t005	información	información	NOUN
es001.s004.t006	sobre	sobre	ADP
es001.s004.t007	la	el	DET
es001.s004.t008	base	base	NOUN
es001.s004.t009	de	de	ADP
es001.s004.t010	las	el	DET
es001.s004.t011	recomendaciones	recomendación	NOUN
es001.s004.t012	del	del	ADP
es001.s004.t013	CHMP	CHMP	PROPN
es001.s004.t014	,	,	PUNCT
es001.s004.t015	lea	lea	VERB
es001.s004.t016	el	el	DET
es001.s004.t017	debate	debate	NOUN
es001.s004.t018	científico	científico	ADJ
es001.s004.t019	(	(	PUNCT
es001.s004.t020	también	también	ADV
es001.s004.t021	parte	parte	NOUN
es001.s004.t022	del	del	ADP
es001.s004.t023	EPAR	EPAR	PROPN
es001.s004.t024	)	)	PUNCT
es001.s004.t025	.	.	PUNCT
es001.s005.t001	¿	¿	PUNCT
es001.s005.t002	Qué	qué	PRON
es001.s005.t003	es	ser	AUX
es001.s005.t004	Alimta	Alimta	PROPN
es001.s005.t005	?	?	PUNCT
es001.s006.t001	Alimta	Alimta	PROPN
es001.s006.t002	es	ser	AUX
es001.s006.t003	un	uno	DET
es001.s006.t004	polvo	polvo	NOUN
es001.s006.t005	que	que	PRON
es001.s006.t006	se	él	PRON
es001.s006.t007	convierte	convertir	VERB
es001.s006.t008	en	en	ADP
es001.s006.t009	una	uno	DET
es001.s006.t010	solución	solución	NOUN
es001.s006.t011	para	para	ADP
es001.s006.t012	perfusión	perfusión	NOUN
es001.s006.t013	(	(	PUNCT
es001.s006.t014	goteo	goteo	NOUN
es001.s006.t015	en	en	ADP
es001.s006.t016	una	uno	DET
es001.s006.t017	vena	vena	NOUN
es001.s006.t018	)	)	PUNCT
es001.s006.t019	.	.	PUNCT
es001.s007.t001	Contiene	contener	VERB
es001.s007.t002	el	el	DET
es001.s007.t003	principio	principio	NOUN
es001.s007.t004	activo	activo	ADJ
es001.s007.t005	pemetrexed	pemetrexed	ADJ
es001.s007.t006	.	.	PUNCT
es001.s008.t001	¿	¿	PUNCT
es001.s008.t002	Para	Para	ADP
es001.s008.t003	qué	qué	PRON
es001.s008.t004	se	él	PRON
es001.s008.t005	utiliza	utilizar	VERB
es001.s008.t006	Alimta	Alimta	PROPN
es001.s008.t007	?	?	PUNCT
es001.s009.t001	Alimta	Alimta	PROPN
es001.s009.t002	se	él	PRON
es001.s009.t003	utiliza	utilizar	VERB
es001.s009.t004	para	para	ADP
es001.s009.t005	tratar	tratar	VERB
es001.s009.t006	dos	dos	NUM
es001.s009.t007	tipos	tipo	NOUN
es001.s009.t008	de	de	ADP
es001.s009.t009	cáncer	cáncer	NOUN
es001.s009.t010	:	:	PUNCT
es001.s009.t011	mesotelioma	mesotelioma	NOUN
es001.s009.t012	pleural	pleural	ADJ
es001.s009.t013	(	(	PUNCT
es001.s009.t014	cáncer	cáncer	NOUN
es001.s009.t015	del	del	ADP
es001.s009.t016	revestimiento	revestimiento	NOUN
es001.s009.t017	de	de	ADP
es001.s009.t018	los	el	DET
es001.s009.t019	pulmones	pulmón	NOUN
es001.s009.t020	que	que	PRON
es001.s009.t021	generalmente	generalmente	ADV
es001.s009.t022	es	ser	AUX
es001.s009.t023	causado	causar	VERB
es001.s009.t024	por	por	ADP
es001.s009.t025	la	el	DET
es001.s009.t026	exposición	exposición	NOUN
es001.s009.t027	al	al	ADP
es001.s009.t028	asbesto	asbesto	NOUN
es001.s009.t029	)	)	PUNCT
es001.s009.t030	.	.	PUNCT
es001.s010.t001	Alimta	Alimta	PROPN
es001.s010.t002	se	él	PRON
es001.s010.t003	utiliza	utilizar	VERB
es001.s010.t004	junto	junto	ADJ
es001.s010.t005	con	con	ADP
es001.s010.t006	cisplatino	cisplatino	NOUN
es001.s010.t007	(	(	PUNCT
es001.s010.t008	otro	otro	DET
es001.s010.t009	medicamento	medicamento	NOUN
es001.s010.t010	anticancerígeno	anticancerígeno	ADJ
es001.s010.t011	)	)	PUNCT
es001.s010.t012	cuando	cuando	SCONJ
es001.s010.t013	el	el	DET
es001.s010.t014	cáncer	cáncer	NOUN
es001.s010.t015	es	ser	AUX
es001.s010.t016	irresecable	irresecable	ADJ
es001.s010.t017	(	(	PUNCT
es001.s010.t018	no	no	ADV
es001.s010.t019	puede	poder	AUX
es001.s010.t020	extirparse	extirpar él	VERB
