Token ID	Token	Lemma	POS	Sense	Token ID ES	Token ES	Lemma ES	POS ES	Sense ES
d001.s001.t001	This		X		es001.s001.t001	Este	este	DET	
d001.s001.t002	document	document	N	bn:00028015n	es001.s001.t002	documento	documento	NOUN	bn:00028015n
d001.s001.t003	is	be	V		es001.s001.t003	es	ser	AUX	
d001.s001.t004	a		X		es001.s001.t004	un	uno	DET	
d001.s001.t005	summary	summary	N	bn:00075142n	es001.s001.t005	resumen	resumen	NOUN	bn:00075142n
d001.s001.t006	of		X		es001.s001.t006	del	del	ADP	
d001.s001.t007	the		X		es001.s001.t007	Informe	Informe	PROPN	
d001.s001.t008	European	european	J	bn:00102440a	es001.s001.t009	Europeo	Europeo	PROPN	bn:00102440a
d001.s001.t009	Public	public	J	bn:00109211a	es001.s001.t008	Público	Público	PROPN	bn:00109211a
d001.s001.t010	Assessment	assessment	N	bn:00006502n	es001.s001.t011	Evaluación	Evaluación	PROPN	bn:00006502n
d001.s001.t011	Report	report	N	bn:00067181n	es001.s001.t007	Informe	Informe	PROPN	bn:00067181n
d001.s001.t012	(		X		es001.s001.t012	(	(	PUNCT	
d001.s001.t013	EPAR	epar	N		es001.s001.t013	EPAR	EPAR	PROPN	
d001.s001.t014	)		X		es001.s001.t014	)	)	PUNCT	
d001.s001.t015	.		X		es001.s001.t015	.	.	PUNCT	
d001.s002.t001	It		X						
d001.s002.t002	explains	explain	V	bn:00087869v	es001.s002.t001	Explica	explicar	VERB	bn:00087869v
d001.s002.t003	how		X		es001.s002.t002	cómo	cómo	PRON	
d001.s002.t004	the		X		es001.s002.t003	el	el	DET	
d001.s002.t005	Committee	committee	N	bn:00021015n	es001.s002.t004	Comité	Comité	PROPN	bn:00021015n
d001.s002.t006	for		X		es001.s002.t005	de	de	ADP	
d001.s002.t007	Medicinal	medicinal	J	bn:00106556a	es001.s002.t006➕es001.s002.t009	Medicamentos➕Humano	Medicamentos	PROPN	bn:00106556a
d001.s002.t008	Products	product	N	bn:00064584n	es001.s002.t006	Medicamentos	Medicamentos	PROPN	bn:00064584n
d001.s002.t009	for		X		es001.s002.t007	de	de	ADP	
d001.s002.t010	Human	human	J	bn:00104385a	es001.s002.t009	Humano	Humano	PROPN	bn:00104385a
d001.s002.t011	Use	use	N	bn:00030627n	es001.s002.t008	Uso	Uso	PROPN	bn:00030627n
d001.s002.t012	(		X		es001.s002.t010	(	(	PUNCT	
d001.s002.t013	CHMP	chmp	N	bn:00302314n	es001.s002.t011	CHMP	CHMP	PROPN	bn:00302314n
d001.s002.t014	)		X		es001.s002.t012	)	)	PUNCT	
d001.s002.t015	assessed	assess	V	bn:00082720v	es001.s002.t013	evaluó	evaluó	VERB	bn:00082720v
d001.s002.t016	the		X		es001.s002.t014	los	el	DET	
d001.s002.t017	studies	study	N	bn:00074790n	es001.s002.t015	estudios	estudio	NOUN	bn:00074790n
d001.s002.t018	performed	perform	V	bn:00087107v	es001.s002.t016	realizados	realizado	ADJ	bn:00087107v
d001.s002.t019	,		X						
d001.s002.t020	to		X		es001.s002.t017	para	para	ADP	
d001.s002.t021	reach	reach	V	bn:00082226v	es001.s002.t018	llegar	llegar	VERB	bn:00082226v
d001.s002.t022	their		X		es001.s002.t020	sus	su	DET	
d001.s002.t023	recommendations	recommendation	N	bn:00066562n	es001.s002.t021	recomendaciones	recomendación	NOUN	bn:00066562n
d001.s002.t024	on		X		es001.s002.t022	sobre	sobre	ADP	
d001.s002.t025	how		X		es001.s002.t023	cómo	cómo	PRON	
d001.s002.t026	to		X		es001.s002.t026	medicamento	medicamento	NOUN	
d001.s002.t027	use	use	V	bn:00082705v	es001.s002.t024	utilizar	utilizar	VERB	bn:00082705v
d001.s002.t028	the		X		es001.s002.t025	el	el	DET	
d001.s002.t029	medicine	medicine	N	bn:00054128n	es001.s002.t026	medicamento	medicamento	NOUN	bn:00054128n
d001.s002.t030	.		X		es001.s002.t027	.	.	PUNCT	
d001.s003.t001	If		X		es001.s003.t001	Si	si	SCONJ	
d001.s003.t002	you		X		es001.s003.t013	lea	lea	VERB	
d001.s003.t003	need	need	V	bn:00091028v	es001.s003.t002	necesita	necesitar	VERB	bn:00091028v
d001.s003.t004	more	more	J	bn:00106935a	es001.s003.t003	más	más	ADV	bn:00106935a
d001.s003.t005	information	information	N	bn:00025314n	es001.s003.t004	información	información	NOUN	bn:00025314n
d001.s003.t006	about		X		es001.s003.t005	sobre	sobre	ADP	
d001.s003.t007	your		X		es001.s003.t006	su	su	DET	
d001.s003.t008	medical	medical	J	bn:00106555a	es001.s003.t008	médica	médico	ADJ	bn:00106555a
d001.s003.t009	condition	condition	N	bn:00021648n	es001.s003.t007	condición	condición	NOUN	bn:00021648n
d001.s003.t010	or		X		es001.s003.t009	o	o	CCONJ	
d001.s003.t011	your		X		es001.s003.t010	su	su	DET	
d001.s003.t012	treatment	treatment	N	bn:00047235n	es001.s003.t011	tratamiento	tratamiento	NOUN	bn:00047235n
d001.s003.t013	,		X		es001.s003.t012	,	,	PUNCT	
d001.s003.t014	read	read	V	bn:00092424v	es001.s003.t013	lea	lea	VERB	bn:00092424v
d001.s003.t015	the		X		es001.s003.t014	el	el	DET	
d001.s003.t016	Package	package	N	bn:00013882n	es001.s003.t015	prospecto	prospecto	NOUN	bn:00013882n
