Token ID	Token	Lemma	POS
es001.s001.t001	En		X
es001.s001.t002	el		X
es001.s001.t003	presente	presente	J
es001.s001.t004	documento	documento	N
es001.s001.t005	se		X
es001.s001.t006	resume	resumir	V
es001.s001.t007	el		X
es001.s001.t008	Informe	informe	N
es001.s001.t009	Público	público	J
es001.s001.t010	Europeo	europeo	J
es001.s001.t011	de		X
es001.s001.t012	Evaluación	evaluación	N
es001.s001.t013	(		X
es001.s001.t014	EPAR	epar	N
es001.s001.t015	)		X
es001.s001.t016	.		X
es001.s002.t001	En		X
es001.s002.t002	él		X
es001.s002.t003	se		X
es001.s002.t004	explica	explicar	V
es001.s002.t005	cómo	cómo	R
es001.s002.t006	el		X
es001.s002.t007	Comité	comité	N
es001.s002.t008	de		X
es001.s002.t009	Medicamentos	medicamento	N
es001.s002.t010	de		X
es001.s002.t011	Uso	uso	N
es001.s002.t012	Humano	humano	J
es001.s002.t013	(		X
es001.s002.t014	CHMP	chmp	N
es001.s002.t015	)		X
es001.s002.t016	ha	haber	V
es001.s002.t017	evaluado	evaluar	V
es001.s002.t018	los		X
es001.s002.t019	estudios	estudio	N
es001.s002.t020	realizados	realizar	V
es001.s002.t021	con		X
es001.s002.t022	el		X
es001.s002.t023	medicamento	medicamento	N
es001.s002.t024	a fin de		X
es001.s002.t025	emitir	emitir	V
es001.s002.t026	unas		X
es001.s002.t027	recomendaciones	recomendación	N
es001.s002.t028	sobre		X
es001.s002.t029	su		X
es001.s002.t030	uso	uso	N
es001.s002.t031	.		X
es001.s003.t001	Si		X
es001.s003.t002	desea	desear	V
es001.s003.t003	más	más	R
es001.s003.t004	información	información	N
es001.s003.t005	sobre		X
es001.s003.t006	su		X
es001.s003.t007	enfermedad	enfermedad	N
es001.s003.t008	o		X
es001.s003.t009	el		X
es001.s003.t010	tratamiento	tratamiento	N
es001.s003.t011	de		X
es001.s003.t012	la		X
es001.s003.t013	misma	mismo	J
es001.s003.t014	,		X
es001.s003.t015	le		X
es001.s003.t016	aconsejamos	aconsejar	V
es001.s003.t017	que		X
es001.s003.t018	lea	leer	V
es001.s003.t019	el		X
es001.s003.t020	prospecto	prospecto	N
es001.s003.t021	(		X
es001.s003.t022	incluido	incluir	V
es001.s003.t023	en		X
es001.s003.t024	el		X
es001.s003.t025	EPAR	epar	N
es001.s003.t026	)		X
es001.s003.t027	o		X
es001.s003.t028	pregunte	preguntar	V
es001.s003.t029	a		X
es001.s003.t030	su		X
es001.s003.t031	médico	médico	N
es001.s003.t032	o		X
es001.s003.t033	su		X
es001.s003.t034	farmacéutico	farmacéutico	N
es001.s003.t035	.		X
es001.s004.t001	Si		X
es001.s004.t002	desea	desear	V
es001.s004.t003	más	más	R
es001.s004.t004	información	información	N
es001.s004.t005	sobre		X
es001.s004.t006	el		X
es001.s004.t007	fundamento	fundamento	N
es001.s004.t008	en		X
es001.s004.t009	el		X
es001.s004.t010	que		X
es001.s004.t011	se		X
es001.s004.t012	han	haber	V
es001.s004.t013	basado	basar	V
es001.s004.t014	las		X
es001.s004.t015	recomendaciones	recomendación	N
es001.s004.t016	del		X
es001.s004.t017	CHMP	chmp	N
es001.s004.t018	,		X
es001.s004.t019	le		X
es001.s004.t020	aconsejamos	aconsejar	V
es001.s004.t021	que		X
es001.s004.t022	lea	leer	V
es001.s004.t023	el		X
es001.s004.t024	Debate	debate	N
es001.s004.t025	Científico	científico	J
es001.s004.t026	(		X
es001.s004.t027	también	también	R
es001.s004.t028	incluido	incluir	V
es001.s004.t029	en		X
es001.s004.t030	el		X
es001.s004.t031	EPAR	epar	N
es001.s004.t032	)		X
es001.s004.t033	.		X
es001.s005.t001	¿Qué		X
es001.s005.t002	es	ser	V
es001.s005.t003	Alimta	alimta	N
es001.s005.t004	?		X
es001.s006.t001	Alimta	alimta	N
es001.s006.t002	es	ser	V
es001.s006.t003	un		X
