ID	English	Spanish Translation
d000.s000	This document is a summary of the European Public Assessment Report ( EPAR ) .	Este documento es un resumen del Informe Público Europeo de Evaluación (EPAR).
d000.s001	It explains how the Committee for Medicinal Products for Human Use ( CHMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .	Explica cómo el Comité de Medicamentos de Uso Humano (CHMP) evaluó los estudios realizados para llegar a sus recomendaciones sobre cómo utilizar el medicamento.
d000.s002	If you need more information about your medical condition or your treatment , read the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .	Si necesita más información sobre su enfermedad o su tratamiento, lea el prospecto (también incluido en el EPAR) o póngase en contacto con su médico o farmacéutico.
d000.s003	If you want more information on the basis of the CHMP recommendations , read the Scientific Discussion ( also part of the EPAR ) .	Si desea más información sobre las bases de las recomendaciones del CHMP, lea la Discusión científica (también parte del EPAR).
d000.s004	What is Alimta ?	¿Qué es Alimta?
d000.s005	Alimta is a powder that is made up into a solution for infusion ( drip into a vein ) .	Alimta es un polvo que se prepara en una solución para infusión (goteo en una vena).
d000.s006	It contains the active substance pemetrexed .	Contiene el principio activo pemetrexed.
d000.s007	What is Alimta used for ?	¿Para qué se utiliza Alimta?
d000.s008	Alimta is used to treat two types of cancer : pleural mesothelioma ( cancer of the lining of the lungs that is usually caused by exposure to asbestos ) .	Alimta se utiliza para tratar dos tipos de cáncer: mesotelioma pleural (cáncer del revestimiento de los pulmones que generalmente es causado por la exposición al asbesto).
d000.s009	Alimta is used together with cisplatin ( another anticancer medicine ) when the cancer is unresectable ( cannot be removed by surgery alone ) and malignant ( has spread , or is likely to spread easily , to other parts of the body ) , in patients who have not received chemotherapy ( medicines for cancer ) before advanced or metastatic non-small cell lung cancer that is not affecting the squamous cells .	Alimta se utiliza junto con cisplatino (otro medicamento contra el cáncer) cuando el cáncer es irresecable (no se puede extirpar únicamente con cirugía) y maligno (se ha diseminado, o es probable que se disemine fácilmente, a otras partes del cuerpo), en pacientes que no han recibido quimioterapia (medicamentos para el cáncer) antes del cáncer de pulmón de células no pequeñas avanzado o metastásico que no afecta las células escamosas.
d000.s010	Alimta is used in combination with cisplatin in patients who have not been treated before , and on its own in patients who have received another type of chemotherapy in the past .	Alimta se utiliza en combinación con cisplatino en pacientes que no han sido tratados previamente y solo en pacientes que han recibido otro tipo de quimioterapia en el pasado.
d000.s011	The medicine can only be obtained with a prescription .	El medicamento sólo puede obtenerse con receta médica.
d000.s012	How is Alimta used ?	¿Cómo se utiliza Alimta?
d000.s013	Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy .	Alimta sólo debe administrarse bajo la supervisión de un médico calificado en el uso de quimioterapia contra el cáncer.
d000.s014	The recommended dose of Alimta is 500 mg per square metre of body surface area ( calculated using the patient s height and weight ) . It is given once every three weeks as an intravenous infusion lasting 10 minutes .	La dosis recomendada de Alimta es de 500 mg por metro cuadrado de superficie corporal (calculada a partir de la altura y el peso del paciente). Se administra una vez cada tres semanas en forma de infusión intravenosa de 10 minutos de duración.
d000.s015	To reduce side effects , patients should take a corticosteroid and folic acid ( a type of vitamin ) , and receive injections of vitamin B12 during treatment with Alimta .	Para reducir los efectos secundarios, los pacientes deben tomar un corticosteroide y ácido fólico (un tipo de vitamina) y recibir inyecciones de vitamina B12 durante el tratamiento con Alimta.
d000.s016	When Alimta is given with cisplatin , an anti-emetic medicine ( to prevent vomiting ) and fluids ( to prevent dehydration ) should also be given before or after the cisplatin dose .	Cuando se administra Alimta con cisplatino, también se debe administrar un medicamento antiemético (para prevenir los vómitos) y líquidos (para prevenir la deshidratación) antes o después de la dosis de cisplatino.
d000.s017	Treatment should be delayed or discontinued , or the dose reduced , in patients whose blood counts are abnormal or who have certain other side effects .	Se debe retrasar o suspender el tratamiento, o reducir la dosis, en pacientes cuyos recuentos sanguíneos sean anormales o que presenten ciertos otros efectos secundarios.
d000.s018	Alimta is not recommended for use in patients with moderate or severe kidney problems .	No se recomienda el uso de Alimta en pacientes con problemas renales moderados o graves.
d000.s019	For more information , see the Summary of Product Characteristics ( also part of the EPAR ) .	Para obtener más información, consulte el Resumen de las características del producto (también parte del EPAR).
d000.s020	How does Alimta work ?	¿Cómo funciona Alimta?
d000.s021	The active substance in Alimta , pemetrexed , is a cytotoxic medicine ( a medicine that kills cells that are dividing , such as cancer cells ) , which belongs to the group antimetabolites .	El principio activo de Alimta, pemetrexed, es un medicamento citotóxico (un medicamento que mata las células que se están dividiendo, como las células cancerosas), que pertenece al grupo de los antimetabolitos.
d000.s022	In the body , pemetrexed is converted into an active form that blocks the activity of the enzymes that are involved in producing nucleotides ( the building blocks of DNA and RNA , the genetic material of cells ) .	En el cuerpo, el pemetrexed se convierte en una forma activa que bloquea la actividad de las enzimas que participan en la producción de nucleótidos (los componentes básicos del ADN y el ARN, el material genético de las células).
d000.s023	How has Alimta been studied ?	¿Cómo se ha estudiado Alimta?
d000.s024	For the treatment of malignant pleural mesothelioma , Alimta has been studied in one main study in 456 patients who had not received chemotherapy for their disease before .	Para el tratamiento del mesotelioma pleural maligno, Alimta se ha estudiado en un estudio principal en 456 pacientes que no habían recibido quimioterapia para su enfermedad antes.
d000.s025	The effects of Alimta in combination with cisplatin were compared with those of cisplatin alone .	Se compararon los efectos de Alimta en combinación con cisplatino con los del cisplatino solo.
d000.s026	For the treatment of non-small cell lung cancer , the effects of Alimta were compared with those of docetaxel ( another anticancer medicine ) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past .	Para el tratamiento del cáncer de pulmón de células no pequeñas, se compararon los efectos de Alimta con los del docetaxel (otro medicamento contra el cáncer) en un estudio en el que participaron 571 pacientes con enfermedad localmente avanzada o metastásica que habían recibido quimioterapia en el pasado.
d000.s027	Alimta was also compared with gemcitabine ( another anticancer medicine ) , both in combination with cisplatin , in a study involving 1,725 patients who had not received chemotherapy for lung cancer in the past .	Alimta también se comparó con gemcitabina (otro medicamento contra el cáncer), ambos en combinación con cisplatino, en un estudio en el que participaron 1.725 pacientes que no habían recibido quimioterapia para el cáncer de pulmón en el pasado.
d000.s028	In all three studies , the main measure of effectiveness was how long the patients survived .	En los tres estudios, la principal medida de eficacia fue el tiempo de supervivencia de los pacientes.
d000.s029	What benefit has Alimta shown during the studies ?	¿Qué beneficios ha demostrado Alimta durante los estudios?
d000.s030	Alimta increased the survival time of patients with malignant pleural mesothelioma .	Alimta aumentó el tiempo de supervivencia de los pacientes con mesotelioma pleural maligno.
d000.s031	Patients receiving Alimta and cisplatin survived for an average of 12.1 months , compared with 9.3 months in those receiving cisplatin alone .	Los pacientes que recibieron Alimta y cisplatino sobrevivieron un promedio de 12,1 meses, en comparación con 9,3 meses en aquellos que recibieron cisplatino solo.
d000.s032	In the treatment of patients with non-small cell lung cancer , Alimta was as effective as the comparators .	En el tratamiento de pacientes con cáncer de pulmón de células no pequeñas, Alimta fue tan eficaz como los comparadores.
d000.s033	In patients who had received chemotherapy in the past , the average survival time was 8.3 months with Alimta , compared with 7.9 months with docetaxel .	En pacientes que habían recibido quimioterapia en el pasado, el tiempo promedio de supervivencia fue de 8,3 meses con Alimta, en comparación con 7,9 meses con docetaxel.
d000.s034	In patients who had not received chemotherapy in the past , the average survival time was 10.3 months in both groups .	En los pacientes que no habían recibido quimioterapia en el pasado, el tiempo promedio de supervivencia fue de 10,3 meses en ambos grupos.
