ID,English
d001.s001,This document is a summary of the European Public Assessment Report (EPAR).
d001.s002,"It explains how the Committee for Medicinal Products for Human Use (CHMP) assessed the studies performed, to reach their recommendations on how to use the medicine."
d001.s003,"If you need more information about your medical condition or your treatment, read the Package Leaflet (also part of the EPAR) or contact your doctor or pharmacist."
d001.s004,"If you want more information on the basis of the CHMP recommendations, read the Scientific Discussion (also part of the EPAR)."
d001.s005,What is Alimta?
d001.s006,Alimta is a powder that is made up into a solution for infusion (drip into a vein).
d001.s007,It contains the active substance pemetrexed.
d001.s008,What is Alimta used for?
d001.s009,Alimta is used to treat two types of cancer: pleural mesothelioma (cancer of the lining of the lungs that is usually caused by exposure to asbestos).
d001.s010,"Alimta is used together with cisplatin (another anticancer medicine) when the cancer is unresectable (cannot be removed by surgery alone) and malignant (has spread, or is likely to spread easily, to other parts of the body), in patients who have not received chemotherapy (medicines for cancer) before advanced or metastatic non-small cell lung cancer that is not affecting the squamous cells."
d001.s011,"Alimta is used in combination with cisplatin in patients who have not been treated before, and on its own in patients who have received another type of chemotherapy in the past."
d001.s012,The medicine can only be obtained with a prescription.
d001.s013,How is Alimta used?
d001.s014,Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy.
d001.s015,The recommended dose of Alimta is 500 mg per square metre of body surface area (calculated using the patient's height and weight).
d001.s016,It is given once every three weeks as an intravenous infusion lasting 10 minutes.
d001.s017,"To reduce side effects, patients should take a corticosteroid and folic acid (a type of vitamin), and receive injections of vitamin B12 during treatment with Alimta."
d001.s018,"When Alimta is given with cisplatin, an anti-emetic medicine (to prevent vomiting) and fluids (to prevent dehydration) should also be given before or after the cisplatin dose."
d001.s019,"Treatment should be delayed or discontinued, or the dose reduced, in patients whose blood counts are abnormal or who have certain other side effects."
d001.s020,Alimta is not recommended for use in patients with moderate or severe kidney problems.
d001.s021,"For more information, see the Summary of Product Characteristics (also part of the EPAR)."
d001.s022,How does Alimta work?
d001.s023,"The active substance in Alimta, pemetrexed, is a cytotoxic medicine (a medicine that kills cells that are dividing, such as cancer cells), which belongs to the group antimetabolites."
d001.s024,"In the body, pemetrexed is converted into an active form that blocks the activity of the enzymes that are involved in producing nucleotides (the building blocks of DNA and RNA, the genetic material of cells)."
d001.s025,How has Alimta been studied?
d001.s026,"For the treatment of malignant pleural mesothelioma, Alimta has been studied in one main study in 456 patients who had not received chemotherapy for their disease before."
d001.s027,The effects of Alimta in combination with cisplatin were compared with those of cisplatin alone.
d001.s028,"For the treatment of non-small cell lung cancer, the effects of Alimta were compared with those of docetaxel (another anticancer medicine) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past."
d001.s029,"Alimta was also compared with gemcitabine (another anticancer medicine), both in combination with cisplatin, in a study involving 1,725 patients who had not received chemotherapy for lung cancer in the past."
d001.s030,"In all three studies, the main measure of effectiveness was how long the patients survived."
d001.s031,What benefit has Alimta shown during the studies?
d001.s032,Alimta increased the survival time of patients with malignant pleural mesothelioma.
d001.s033,"Patients receiving Alimta and cisplatin survived for an average of 12.1 months, compared with 9.3 months in those receiving cisplatin alone."
d001.s034,"In the treatment of patients with non-small cell lung cancer, Alimta was as effective as the comparators."
d001.s035,"In patients who had received chemotherapy in the past, the average survival time was 8.3 months with Alimta, compared with 7.9 months with docetaxel."
d001.s036,"In patients who had not received chemotherapy in the past, the average survival time was 10.3 months in both groups."
d001.s037,"However, in both studies, patients whose cancer was not affecting squamous cells had longer survival times if they received Alimta than if they received the comparator."
d001.s038,"In contrast, patients whose cancer was affecting squamous cells had shorter survival times if they received Alimta."
d002.s001,kalgebra is a mathematical calculator based on content markup MathML language.
d002.s002,Nowadays it is capable to make simple MathML operations (arithmetic and logical) and to representate 2D and 3D graphs.
d002.s003,It is actually not necessary to know MathML to use kalgebra.
d002.s004,kalgebra is a MathML based graph calculator.
d002.s005,Although it was initially MathML oriented it can now be used by everyone with little mathematical knowledge.
d002.s006,Here's a screenshot of kalgebra main window
d002.s007,kalgebra main window
d002.s008,"kalgebra main window consists in a Console tab, a 2D Graph tab, a 3D Graph tab and a Dictionary tab."
d002.s009,Below these tabs you will find an input field to type your functions or do your calculations.
d002.s010,"If we want to understand how it works, the best thing we can do is to realize that our input is being converted into MathML although it is not necessary to know MathML."
d002.s011,"I have based the syntax basically on common sense, it should not be hard for anyone."
d002.s012,I've looked closely to maxima and maple's syntax so they look very similar.
d002.s013,#ERROR!
d002.s014,"^, **: Power, you can use them both."
d002.s015,Also it is possible to use the unicode² characters.
d002.s016,Powers are one way to make roots too.
d002.s017,-gt: It's the way to specify the bounded variable in a function.
d002.s018,(): It is used to specify a higher priority.
d002.s019,"abc(params): When the parser finds a function, it checks if abc is an operator."
d002.s020,"If it is, it will be treated as an operator, if it is not, it will be treated as a user function."
d002.s021,:=: It is used to define a variable value.
