Token ID	Token	Lemma	POS	Sense
d001.s001.t001	This		X	n/a
d001.s001.t002	document	document	N	bn:00028015n
d001.s001.t003	is	be	V	n/a
d001.s001.t004	a		X	n/a
d001.s001.t005	summary	summary	N	bn:00075142n
d001.s001.t006	of		X	n/a
d001.s001.t007	the		X	n/a
d001.s001.t008	European	european	J	bn:00102440a
d001.s001.t009	Public	public	J	bn:00109211a
d001.s001.t010	Assessment	assessment	N	bn:00006502n
d001.s001.t011	Report	report	N	bn:00067181n
d001.s001.t012	(		X	n/a
d001.s001.t013	EPAR	epar	N	n/a
d001.s001.t014	)		X	n/a
d001.s001.t015	.		X	n/a
d001.s002.t001	It		X	n/a
d001.s002.t002	explains	explain	V	bn:00087869v
d001.s002.t003	how		X	n/a
d001.s002.t004	the		X	n/a
d001.s002.t005	Committee	committee	N	bn:00021015n
d001.s002.t006	for		X	n/a
d001.s002.t007	Medicinal	medicinal	J	bn:00106556a
d001.s002.t008	Products	product	N	bn:00064584n
d001.s002.t009	for		X	n/a
d001.s002.t010	Human	human	J	bn:00104385a
d001.s002.t011	Use	use	N	bn:00030627n
d001.s002.t012	(		X	n/a
d001.s002.t013	CHMP	chmp	N	bn:00302314n
d001.s002.t014	)		X	n/a
d001.s002.t015	assessed	assess	V	bn:00082720v
d001.s002.t016	the		X	n/a
d001.s002.t017	studies	study	N	bn:00074790n
d001.s002.t018	performed	perform	V	bn:00087107v
d001.s002.t019	,		X	n/a
d001.s002.t020	to		X	n/a
d001.s002.t021	reach	reach	V	bn:00082226v
d001.s002.t022	their		X	n/a
d001.s002.t023	recommendations	recommendation	N	bn:00066562n
d001.s002.t024	on		X	n/a
d001.s002.t025	how		X	n/a
d001.s002.t026	to		X	n/a
d001.s002.t027	use	use	V	bn:00082705v
d001.s002.t028	the		X	n/a
d001.s002.t029	medicine	medicine	N	bn:00054128n
d001.s002.t030	.		X	n/a
d001.s003.t001	If		X	n/a
d001.s003.t002	you		X	n/a
d001.s003.t003	need	need	V	bn:00091028v
d001.s003.t004	more	more	J	bn:00106935a
d001.s003.t005	information	information	N	bn:00025314n
d001.s003.t006	about		X	n/a
d001.s003.t007	your		X	n/a
d001.s003.t008	medical	medical	J	bn:00106555a
d001.s003.t009	condition	condition	N	bn:00021648n
d001.s003.t010	or		X	n/a
d001.s003.t011	your		X	n/a
d001.s003.t012	treatment	treatment	N	bn:00047235n
d001.s003.t013	,		X	n/a
d001.s003.t014	read	read	V	bn:00092424v
d001.s003.t015	the		X	n/a
d001.s003.t016	Package	package	N	bn:00013882n
d001.s003.t017	Leaflet	leaflet	N	bn:00012133n
d001.s003.t018	(		X	n/a
d001.s003.t019	also	also	R	bn:00114246r
d001.s003.t020	part	part	N	bn:00021395n
d001.s003.t021	of		X	n/a
d001.s003.t022	the		X	n/a
d001.s003.t023	EPAR	epar	N	n/a
d001.s003.t024	)		X	n/a
d001.s003.t025	or		X	n/a
d001.s003.t026	contact	contact	V	bn:00085696v
d001.s003.t027	your		X	n/a
d001.s003.t028	doctor	doctor	N	bn:00027976n
d001.s003.t029	or		X	n/a
d001.s003.t030	pharmacist	pharmacist	N	bn:00004992n
d001.s003.t031	.		X	n/a
d001.s004.t001	If		X	n/a
d001.s004.t002	you		X	n/a
d001.s004.t003	want	want	V	bn:00086682v
d001.s004.t004	more	more	J	bn:00106935a
d001.s004.t005	information	information	N	bn:00025314n
d001.s004.t006	on		X	n/a
d001.s004.t007	the		X	n/a
d001.s004.t008	basis	basis	N	bn:00008786n
d001.s004.t009	of		X	n/a
d001.s004.t010	the		X	n/a
d001.s004.t011	CHMP	chmp	N	bn:00302314n
d001.s004.t012	recommendations	recommendation	N	bn:00066562n
d001.s004.t013	,		X	n/a
d001.s004.t014	read	read	V	bn:00092424v
d001.s004.t015	the		X	n/a
d001.s004.t016	Scientific	scientific	J	bn:00110175a
d001.s004.t017	Discussion	discussion	N	bn:00027523n
d001.s004.t018	(		X	n/a
d001.s004.t019	also	also	R	bn:00114246r
d001.s004.t020	part	part	N	bn:00021395n
d001.s004.t021	of		X	n/a
d001.s004.t022	the		X	n/a
d001.s004.t023	EPAR	epar	N	n/a
d001.s004.t024	)		X	n/a
d001.s004.t025	.		X	n/a
d001.s005.t001	What		X	n/a
d001.s005.t002	is	be	V	n/a
d001.s005.t003	Alimta	alimta	N	bn:00602447n
d001.s005.t004	?		X	n/a
d001.s006.t001	Alimta	alimta	N	bn:00602447n
d001.s006.t002	is	be	V	n/a
d001.s006.t003	a		X	n/a
d001.s006.t004	powder	powder	N	bn:00063926n
d001.s006.t005	that		X	n/a
d001.s006.t006	is	be	V	n/a
d001.s006.t007	made up	make up	V	bn:00083187v
d001.s006.t008	into		X	n/a
d001.s006.t009	a		X	n/a
d001.s006.t010	solution	solution	N	bn:00072760n
d001.s006.t011	for		X	n/a
d001.s006.t012	infusion	infusion	N	bn:00046734n
d001.s006.t013	(		X	n/a
d001.s006.t014	drip	drip	V	bn:00087306v
d001.s006.t015	into		X	n/a
d001.s006.t016	a		X	n/a
d001.s006.t017	vein	vein	N	bn:00079681n
d001.s006.t018	)		X	n/a
